date, pm25, pm10, o3, no2, co
2019/10/25, 70, 33, 24, 31, 33
2019/10/26, 34, 40, 32, 28, 32
2019/10/27, 41, 74, 27, 29, 34
2019/10/28, 72, 48, 33, 33, 34
2019/10/29, 48, 56, 34, 37, 35
2019/10/30, 56, 34, 27, 39, 34
2019/10/31, 35, 28, 19, 37, 31
2019/11/1, 30, 39, 33, 45, 32
2019/11/2, 40, 53, 43, 29, 34
2019/11/3, 52, 36, 41, 36, 47
2019/11/4, 37, 46, 44, 38, 39
2019/11/5, 47, 50, 52, 43, 32
2019/11/6, 50, 55, 43, 36, 32
2019/11/7, 55, 40, 32, 33, 33
2019/11/8, 39, 35, 39, 31, 36
2019/11/9, 36, 52, 30, 31, 34
2019/11/10, 52, 59, 29, 40, 35
2019/11/11, 58, 59, 29, 45, 35
2019/11/12, 58, 59, 34, 54, 36
2019/11/13, 58, 106, 21, 43, 35
2019/11/14, 107, 107, 21, 42, 35
2019/11/15, 109, 100, 41, 54, 32
2019/11/16, 104, 96, 48, 64, 31
2019/11/17, 101, 103, 48, 55, 36
2019/11/18, 106, 135, 63, 36, 36
2019/11/19, 195, 138, 53, 49, 35
2019/11/20, 199, 134, 46, 48, 33
2019/11/21, 188, 119, 47, 42, 33
2019/11/22, 146, 123, 44, 40, 34
2019/11/23, 157, 128, 49, 37, 34
2019/11/24, 171, 121, 38, 50, 37
2019/11/25, 150, 120, 41, 46, 36
2019/11/26, 144, 109, 38, 44, 37
2019/11/27, 118, 115, 44, 36, 34
2019/11/28, 133, 114, 44, 48, 35
2019/11/29, 131, 117, 24, 50, 33
2019/11/30, 138, , , , 
2019/12/2, 105, 70, 26, 35, 35
2019/12/3, 70, 64, 30, 43, 36
2019/12/4, 63, 97, 37, 57, 37
2019/12/5, 96, 111, 47, 59, 34
2019/12/6, 123, 107, 52, 54, 35
2019/12/7, 111, 114, 58, 50, 37
2019/12/8, 132, 102, 48, 51, 35
2019/12/9, 104, 104, 48, 49, 35
2019/12/10, 105, 107, 48, 48, 38
2019/12/11, 111, 106, 53, 49, 38
2019/12/12, 108, 95, 49, 43, 37
2019/12/13, 93, 95, 54, 44, 35
2019/12/14, 94, 109, 59, 48, 36
2019/12/15, 118, 114, 56, 47, 44
2019/12/16, 131, 113, 45, 40, 40
2019/12/17, 129, 97, 49, 34, 40
2019/12/18, 94, 114, 40, 29, 37
2019/12/19, 130, 129, 44, 34, 35
2019/12/20, 175, 136, 37, 39, 36
2019/12/21, 195, 127, 30, 41, 35
2019/12/22, 167, 119, 37, 45, 36
2019/12/23, 145, 142, 46, 42, 39
2019/12/24, 210, 127, 53, 40, 37
2019/12/25, 167, 114, 43, 40, 37
2019/12/26, 132, 102, 40, 32, 38
2019/12/27, 101, 110, 33, 35, 36
2019/12/28, 121, 97, 50, 40, 37
2019/12/29, 94, , , , 
2019/7/1, 13, 10, 46, 28, 35
2019/7/2, 11, 26, 49, 27, 33
2019/7/3, 19, 69, 34, 25, 33
2019/7/4, 21, 77, 58, 25, 32
2019/7/5, 25, 54, 57, 25, 32
2019/7/6, 28, 54, 57, 27, 32
2019/7/7, 28, 54, 57, 27, 32
2019/7/8, 28, 54, 57, 27, 32
2019/7/9, 28, 54, 57, 27, 32
2019/7/10, 28, 54, 57, 27, 32
2019/7/11, 28, 54, 57, 27, 32
2019/7/12, 28, 54, 57, 27, 32
2019/7/13, 28, 54, 57, 27, 32
2019/7/14, 28, 54, 57, 27, 32
2019/7/15, 28, 54, 57, 24, 32
2019/7/16, 28, 54, 57, 21, 32
2019/7/17, 28, 54, 57, 21, 32
2019/7/18, 28, 54, 57, 21, 32
2019/7/19, 28, 54, 57, 21, 32
2019/7/20, 28, 54, 57, 21, 32
2019/7/21, 28, 54, 57, 21, 32
2019/7/22, 28, 54, 57, 21, 32
2019/7/23, 28, 54, 57, 21, 32
2019/7/24, 28, 54, 57, 21, 32
2019/7/25, 28, 54, 57, 21, 32
2019/7/26, 28, 28, 53, 41, 28
2019/7/27, 21, 18, 51, 23, 27
2019/7/28, 15, 28, 52, 21, 26
2019/7/29, 20, 21, 46, 20, 29
2019/7/30, 16, 11, 43, 20, 29
2019/7/31, 11, 14, 46, 20, 31
2019/8/1, 13, 11, 42, 19, 29
2019/8/2, 11, 8, 44, 18, 31
2019/8/3, 9, 5, 48, 18, 29
2019/8/4, 8, 11, 47, 18, 28
2019/8/5, 11, 11, 44, 17, 29
2019/8/6, 11, 19, 47, 16, 29
2019/8/7, 15, 29, 50, 18, 29
2019/8/8, 20, 32, 50, 20, 29
2019/8/9, 29, 28, 50, 18, 29
2019/8/10, 69, 25, 46, 16, 32
2019/8/11, 21, 30, 47, 15, 31
2019/8/12, 21, 47, 50, 15, 43
2019/8/13, 37, 35, 48, 17, 29
2019/8/14, 41, 45, 40, 22, 28
2019/8/15, 53, 34, 46, 20, 30
2019/8/16, 39, 33, 43, 14, 29
2019/8/17, 38, 33, 42, 12, 29
2019/8/18, 37, 39, 44, 16, 29
2019/8/19, 44, 47, 46, 19, 29
2019/8/20, 53, 47, 39, 17, 30
2019/8/21, 54, 36, 41, 19, 29
2019/8/22, 42, 36, 31, 18, 30
2019/8/23, 41, 40, 34, 18, 30
2019/8/24, 31, 29, 38, 20, 30
2019/8/25, 20, 27, 36, 22, 29
2019/8/26, 19, 38, 33, 21, 29
2019/8/27, 24, 48, 33, 15, 29
2019/8/28, 29, 61, 36, 13, 29
2019/8/29, 43, 37, 36, 13, 31
2019/8/30, 44, 23, 35, 14, 31
