date, pm25, pm10, o3, no2, co
2018/8/29, 32, 30, 32, 26, 71
2018/8/30, 33, 31, 38, 28, 54
2018/8/31, 34, 32, 50, 28, 50
2018/9/1, 35, 27, 44, 27, 70
2018/9/2, 31, 15, 37, 27, 83
2018/9/3, 20, 19, 30, 27, 63
2018/9/4, 23, 24, 32, 27, 44
2018/9/5, 28, 29, 44, 28, 70
2018/9/6, 32, 33, 45, 28, 75
2018/9/7, 36, 30, 42, 27, 68
2018/9/8, 33, 30, 42, 28, 94
2018/9/9, 33, 30, 42, 28, 94
2018/9/10, 33, 37, 40, 30, 121
2018/9/11, 40, 39, 40, 31, 128
2018/9/12, 42, 39, 40, 31, 128
2018/9/13, 42, 26, 36, 29, 128
2018/9/14, 30, 26, 36, 28, 128
2018/9/15, 30, 26, 36, 28, 128
2018/9/16, 30, 25, 47, 30, 73
2018/9/17, 28, 26, 47, 30, 83
2018/9/18, 29, 41, 36, 30, 71
2018/9/19, 44, 44, 41, 29, 64
2018/9/20, 48, 42, 61, 28, 54
2018/9/21, 53, 53, 62, 27, 43
2018/9/22, 57, 56, 51, 28, 38
2018/9/23, 58, 39, 50, 28, 73
2018/9/24, 42, 44, 52, 28, 43
2018/9/25, 46, 50, 62, 27, 59
2018/9/26, 52, 66, 66, 27, 82
2018/9/27, 67, 61, 52, 27, 76
2018/9/28, 63, 51, 58, 28, 87
2018/9/29, 53, 53, 44, 26, 52
2018/9/30, 55, 56, 47, 26, 42
2018/4/1, 73, 88, 56, 26, 39
2018/4/2, 81, 92, 72, 19, 36
2018/4/3, 86, 96, 72, 32, 31
2018/4/4, 185, 91, 20, 27, 38
2018/4/5, 119, 96, 82, 37, 36
2018/4/6, 81, 110, 80, 63, 28
2018/4/7, 95, 125, 79, 71, 28
2018/4/8, 130, 135, 76, 73, 31
2018/4/9, 151, 104, 17, 58, 33
2018/4/10, 88, 102, 32, 53, 31
2018/4/11, 86, 98, 31, 50, 31
2018/4/12, 82, 99, , 53, 
2018/4/13, 82, 101, , 53, 
2018/4/14, 84, , , , 
2018/4/19, 71, 91, 40, 28, 34
2018/4/20, 76, , , , 
2018/4/23, 70, 92, 69, 42, 32
2018/4/24, 76, 89, 87, 39, 31
2018/4/25, 74, 80, 94, 36, 31
2018/4/26, 66, 73, 114, 38, 34
2018/4/27, 60, 69, 69, 38, 39
2018/4/28, 57, 68, 64, 39, 38
2018/4/29, 57, 62, 57, 37, 35
2018/4/30, 53, 75, 72, 34, 33
2018/5/1, 62, 83, 83, 36, 33
2018/5/2, 69, 72, 93, , 32
2018/5/3, 59, 72, 90, 41, 34
2018/5/4, 59, 70, 71, 38, 40
2018/5/5, 58, 76, 66, 37, 37
2018/5/6, 63, 68, 60, 36, 50
2018/5/7, 57, 59, 71, 36, 45
2018/5/8, 49, 71, 182, 37, 29
2018/5/9, 57, 88, 194, 40, 36
2018/5/10, 68, 83, 110, 39, 36
2018/5/11, 62, 74, 75, 37, 32
2018/5/12, 58, 78, 72, 37, 32
2018/5/13, 61, 93, 81, 40, 31
2018/5/14, 74, 78, 89, 40, 33
2018/5/15, 61, 72, 84, 39, 30
2018/5/16, 56, 82, 130, 40, 27
2018/5/17, 64, 81, 124, 38, 31
2018/5/18, 63, 79, 93, 38, 40
2018/5/19, 62, 91, 164, 39, 42
2018/5/20, 72, 93, 142, 38, 37
2018/5/21, 73, 82, 84, 38, 34
2018/5/22, 65, 81, 147, 39, 34
2018/5/23, 63, 84, 147, 39, 33
2018/5/24, 67, 90, 78, 39, 30
2018/5/25, 71, 72, 78, 39, 29
2018/5/26, 56, 69, 103, 40, 30
2018/5/27, 54, 69, 104, 39, 34
2018/5/28, 54, 59, 137, 38, 39
2018/5/29, 46, 53, 72, 37, 39
2018/5/30, 41, 57, 63, 38, 41
2018/5/31, 44, 73, 87, 38, 43
2018/6/1, 57, 78, 90, 38, 26
2018/6/2, 61, 54, 80, 38, 28
2018/6/3, 42, 34, 80, 38, 29
2018/6/4, 26, 45, 67, 41, 27
2018/6/5, 35, 54, 96, 41, 40
2018/6/6, 42, 45, 71, 39, 29
2018/6/7, 36, 37, 70, 39, 28
2018/6/8, 28, 29, 72, 39, 31
2018/6/9, 22, 25, 66, 38, 30
2018/6/10, 19, 40, 58, 38, 31
2018/6/11, 30, 53, 66, 37, 38
2018/6/12, 40, 63, 122, 37, 37
2018/6/13, 47, 65, 128, 39, 32
2018/6/14, 48, 57, 51, 42, 31
2018/6/15, 43, 46, 49, 40, 26
2018/6/16, 34, 39, 49, 54, 27
2018/6/17, 29, 28, 52, 49, 39
2018/6/18, 20, 19, 55, 45, 40
2018/6/19, 14, 27, 58, 47, 32
2018/6/20, 20, 53, 60, 42, 27
2018/6/21, 39, 39, 51, 38, 46
2018/6/22, 29, 26, 45, 36, 76
2018/6/23, 19, 22, 45, 36, 55
2018/6/24, 16, 15, 45, 37, 49
2018/6/25, 11, 22, 44, 37, 66
2018/6/26, 17, 32, 47, 36, 60
2018/6/27, 24, 38, 48, 36, 52
2018/6/28, 29, 28, 37, 37, 62
2018/6/29, 21, 30, 48, 38, 64
2018/6/30, 22, 32, 45, 36, 46
2018/1/1, 94, 106, 70, 27, 53
2018/1/2, 89, 111, 72, 27, 61
2018/1/3, 90, 120, 71, 29, 56
2018/1/4, 99, 129, 86, 28, 54
2018/1/5, 119, 120, 69, 28, 43
2018/1/6, 99, 111, 61, 27, 21
2018/1/7, 87, 102, 65, 27, 34
2018/1/8, 78, 103, 63, 28, 55
2018/1/9, 83, 140, 51, 28, 41
2018/1/10, 123, 137, 52, 28, 44
2018/1/11, 137, 124, 56, 29, 40
2018/1/12, 110, 114, 58, 29, 35
2018/1/13, 93, , 46, 29, 37
2018/1/15, 170, 143, 66, 29, 74
2018/1/16, 177, 122, 67, 27, 83
2018/1/17, 136, 97, 68, 28, 94
2018/1/18, 88, 100, 61, 28, 101
2018/1/19, 92, 113, 65, 28, 102
2018/1/20, 114, 124, 66, , 93
2018/1/21, 143, 123, 91, 27, 49
2018/1/22, 142, 104, 98, 27, 33
2018/1/23, 106, 81, 100, 27, 25
2018/1/24, 169, 101, 63, 25, 26
2018/1/25, 201, 135, 79, 28, 19
2018/1/26, 203, 117, 95, 28, 39
2018/1/27, 142, 118, 98, 28, 70
2018/1/28, 145, 124, 76, 28, 92
2018/1/29, 163, 144, 70, 28, 73
2018/1/30, 221, 154, 56, , 53
2018/1/31, 246, 148, 46, 14, 47
2018/2/1, 227, 134, 41, 14, 33
2018/2/2, 189, 124, 26, , 43
2018/2/3, 163, 132, 21, 15, 51
2018/2/4, 183, 141, 29, 14, 49
2018/2/5, 209, 137, 33, 14, 55
2018/2/6, 198, 128, 32, , 55
2018/2/7, 175, 102, 34, , 48
2018/2/8, 114, 95, 35, , 27
2018/2/9, 95, 102, 33, , 24
2018/2/10, 101, 101, 33, , 32
2018/2/11, 99, 64, 28, , 36
2018/2/12, 64, 76, 30, , 43
2018/2/13, 75, 82, 32, , 43
2018/2/14, 101, 81, 29, , 51
2018/2/15, 101, 98, 32, , 44
2018/2/16, 109, 104, 38, , 44
2018/2/17, 113, 95, 38, , 47
2018/2/18, 93, 88, 30, 12, 58
2018/2/19, 80, 104, 30, 14, 44
2018/2/20, 113, 120, 42, , 35
2018/2/21, 141, 121, 46, , 36
2018/2/22, 150, 123, 52, , 39
2018/2/23, 139, 114, 50, , 43
2018/2/24, 134, 119, 39, , 47
2018/2/25, 146, 123, 46, , 44
2018/2/26, 161, 125, 32, , 43
2018/2/27, 138, 121, 44, , 42
2018/2/28, 119, 114, 42, , 43
2018/3/1, 132, 118, 35, , 45
2018/3/2, 140, 125, 37, , 44
2018/3/3, 156, 123, 27, , 36
2018/3/4, 150, 123, 45, , 32
2018/3/5, 148, , 59, , 45
2018/3/7, 156, 110, 58, 13, 51
2018/3/8, 119, 102, 55, 14, 45
2018/3/9, 101, 110, 43, , 45
2018/3/10, 114, 116, 43, 7, 38
2018/3/11, 128, 109, 52, 9, 34
2018/3/12, 112, 116, 40, 14, 37
2018/3/13, 129, 125, 42, , 43
2018/3/14, 154, , 53, 13, 40
2018/3/16, 76, 96, 53, 14, 40
2018/3/17, 93, 114, 59, 13, 36
2018/3/18, 122, 96, 61, 13, 37
2018/3/19, 98, 83, 52, 14, 44
2018/3/20, 78, 72, 44, , 47
2018/3/21, 67, 67, 46, , 48
2018/3/22, 62, 83, 58, , 42
2018/3/23, 78, 100, 54, 25, 42
2018/3/24, 96, 109, 62, 25, 45
2018/3/25, 111, 116, 55, 26, 44
2018/3/26, 131, 117, 50, 28, 41
2018/3/27, 134, 98, 54, 26, 44
2018/3/28, 100, 77, 50, 27, 48
2018/3/29, 72, 76, 54, 28, 47
2018/3/30, 71, 82, 46, 22, 53
2018/3/31, 76, 81, 64, 17, 45
2017/10/1, 54, 67, 52, 26, 
2017/10/2, 53, 77, 61, 30, 17
2017/10/3, 60, 86, 71, 28, 24
2017/10/4, 67, 118, 74, 27, 28
2017/10/5, 119, 102, 55, 28, 28
2017/10/6, 120, 59, 55, 28, 25
2017/10/7, 58, 47, 38, 29, 24
2017/10/8, 36, 39, 55, 29, 24
2017/10/9, 29, 41, 56, 29, 22
2017/10/10, 31, 48, 61, 28, 29
2017/10/11, 36, 43, 104, 28, 53
2017/10/12, 33, 34, 110, 28, 51
2017/10/13, 27, 33, 79, 27, 33
2017/10/14, 26, 43, 71, 27, 28
2017/10/15, 33, 50, 96, 27, 15
2017/10/16, 39, 64, 96, 29, 24
2017/10/17, 51, 80, 73, 28, 27
2017/10/18, 67, 95, 102, 30, 29
2017/10/19, 72, 139, 113, 30, 34
2017/10/20, 132, 134, 169, 29, 44
2017/10/21, 134, 99, 169, 30, 57
2017/10/22, 79, 87, 146, 29, 59
2017/10/23, 66, 91, 158, 29, 63
2017/10/24, 68, 94, 158, 30, 62
2017/10/25, 71, 113, 31, 30, 61
2017/10/26, 92, 113, 49, 29, 58
2017/10/27, 93, 105, 49, 29, 55
2017/10/28, 84, 100, 50, 30, 57
2017/10/29, 78, 109, 42, 29, 58
2017/10/30, 87, 118, 43, 29, 60
2017/10/31, 97, 125, 45, 29, 58
2017/11/1, 108, 132, 42, 29, 55
2017/11/2, 125, 132, 38, 28, 59
2017/11/3, 125, , , , 
2017/11/6, 82, 116, 42, 30, 59
2017/11/7, 97, 121, 42, 29, 65
2017/11/8, 105, 115, 47, 28, 60
2017/11/9, 94, 113, 50, 29, 60
2017/11/10, 91, 121, 51, 29, 61
2017/11/11, 105, 137, 62, 31, 72
2017/11/12, 137, 131, 64, 31, 77
2017/11/13, 122, 123, 65, 30, 71
2017/11/14, 104, 123, 68, 32, 68
2017/11/15, 100, 125, 66, 31, 71
2017/11/16, 108, 120, 76, 31, 73
2017/11/17, 105, 109, 79, 26, 69
2017/11/18, 87, , 52, 28, 68
2017/11/20, 71, 79, 41, 30, 67
2017/11/21, 62, 86, 38, 30, 68
2017/11/22, 66, 103, 53, 28, 89
2017/11/23, 78, 96, 68, 30, 71
2017/11/24, 73, 97, 73, 29, 69
2017/11/25, 75, 134, 53, 28, 66
2017/11/26, 174, 150, 48, 30, 66
2017/11/27, 209, 123, 32, 30, 68
2017/11/28, 108, 119, 48, 29, 71
2017/11/29, 99, 126, 48, 30, 71
2017/11/30, 112, 134, 28, 31, 73
2017/12/1, 131, 123, 41, 30, 67
2017/12/2, 112, 110, 68, 28, 30
2017/12/3, 88, 102, 70, 28, 36
2017/12/4, 79, 93, 47, 27, 63
2017/12/5, 72, 89, 56, 27, 54
2017/12/6, 69, , 70, 29, 53
2017/12/12, 51, 63, 71, 29, 108
2017/12/13, 48, 74, 46, 29, 69
2017/12/14, 57, 80, 70, 28, 77
2017/12/15, 61, 102, 80, 28, 80
2017/12/16, 81, 113, 51, 28, 76
2017/12/17, 91, 98, 48, 28, 61
2017/12/18, 77, 101, 47, 29, 53
2017/12/19, 80, 107, 43, 29, 55
2017/12/20, 86, 111, 47, 28, 73
2017/12/21, 89, 133, 52, 28, 42
2017/12/22, 134, 144, 52, 29, 55
2017/12/23, 155, 135, 71, 29, 62
2017/12/24, 133, 126, 75, 28, 58
2017/12/25, 112, 131, 41, 28, 56
2017/12/26, 113, 136, 40, 29, 56
2017/12/27, 126, 139, 54, 29, 46
2017/12/28, 127, 135, 56, 28, 60
2017/12/29, 121, 129, 60, 28, 65
2017/12/30, 118, , , , 
2017/7/1, 26, 35, 32, 27, 26
2017/7/2, 27, 32, 27, 27, 9
2017/7/3, 25, 42, 26, 28, 18
2017/7/4, 33, 43, 26, 27, 11
2017/7/5, 34, 50, 27, 28, 22
2017/7/6, 39, 54, 26, 29, 17
2017/7/7, 42, 54, 27, 27, 12
2017/7/8, 42, 55, 27, 28, 17
2017/7/9, 43, 47, 25, 29, 20
2017/7/10, 38, 46, 25, 29, 21
2017/7/11, 36, 47, 42, 28, 22
2017/7/12, 37, 50, 85, 29, 13
2017/7/13, 40, 45, 75, 29, 19
2017/7/14, 35, 39, 22, 27, 40
2017/7/15, 31, 41, 16, 27, 61
2017/7/16, 32, 32, 23, 28, 3
2017/7/17, 23, 29, 19, 29, 12
2017/7/18, 21, 23, 20, 28, 32
2017/7/19, 17, 21, 16, 28, 26
2017/7/20, 16, 23, 80, 27, 30
2017/7/21, 18, 25, 80, 29, 38
2017/7/22, 20, , , , 
2017/7/24, 29, 44, 76, 28, 42
2017/7/25, 34, 50, 80, 29, 43
2017/7/26, 39, 43, 62, 27, 27
2017/7/27, 34, 34, 62, 27, 25
2017/7/28, 26, 31, 46, 29, 25
2017/7/29, 25, , , , 
2017/7/31, 24, 30, 33, 27, 61
2017/8/1, 23, 31, 27, 28, 43
2017/8/2, 24, 35, 21, 28, 40
2017/8/3, 27, 37, 20, 29, 46
2017/8/4, 29, 47, 24, 28, 37
2017/8/5, 37, 51, 92, 27, 51
2017/8/6, 40, 54, 93, 27, 62
2017/8/7, 42, 52, 56, 28, 65
2017/8/8, 40, 54, 26, 28, 35
2017/8/9, 42, 48, 177, 29, 31
2017/8/10, 37, 42, 176, 27, 42
2017/8/11, 33, 39, 66, 26, 28
2017/8/12, 31, 42, 60, 27, 22
2017/8/13, 33, 42, 27, 26, 32
2017/8/14, 32, 47, 27, 26, 84
2017/8/15, 36, 48, 25, 29, 106
2017/8/16, 37, 56, 28, 28, 50
2017/8/17, 42, 63, 24, 27, 12
2017/8/18, 48, 54, 24, 27, 12
2017/8/19, 44, 31, 24, 28, 12
2017/8/20, 25, 24, 24, 28, 
2017/8/21, 19, 30, 29, , 
2017/8/22, 24, 41, 29, 27, 14
2017/8/23, 34, 40, 25, 27, 15
2017/8/24, 32, 35, 25, 29, 14
2017/8/25, 27, 24, 24, 26, 13
2017/8/26, 19, 22, 32, 27, 12
2017/8/27, 17, 23, 32, 26, 12
2017/8/28, 18, 20, 31, 26, 83
2017/8/29, 16, 21, 32, 28, 51
2017/8/30, 17, 43, 58, 29, 27
2017/8/31, 34, 61, 44, 35, 20
2017/9/1, 47, 47, 25, 32, 26
2017/9/2, 36, 42, 26, 28, 31
2017/9/3, 32, 44, 26, 29, 30
2017/9/4, 34, 54, 25, 27, 27
2017/9/5, 42, 63, 23, 27, 25
2017/9/6, 49, , , , 
2017/9/11, 36, 45, 11, 29, 35
2017/9/12, 34, 45, 48, 27, 32
2017/9/13, 34, 32, 48, 27, 48
2017/9/14, 24, 37, , 26, 46
2017/9/15, 29, 38, , 27, 44
2017/9/16, 30, 36, , 27, 42
2017/9/17, 28, 34, , 27, 43
2017/9/18, 26, 32, 19, 28, 44
2017/9/19, 25, 26, 34, 27, 42
2017/9/20, 20, 43, 36, 29, 65
2017/9/21, 36, 53, 29, 29, 69
2017/9/22, 43, 83, 64, 27, 31
2017/9/23, 66, 75, 64, 28, 23
2017/9/24, 59, 55, 62, 28, 24
2017/9/25, 43, 66, 66, 27, 32
2017/9/26, 51, 73, 89, 26, 21
2017/9/27, 56, 85, 77, 26, 14
2017/9/28, 65, 81, 56, 27, 16
2017/9/29, 64, 86, 60, 28, 15
2017/9/30, 87, 68, 52, 25, 12
2017/4/1, 90, 110, 65, , 
2017/4/2, 89, 98, 90, , 36
2017/4/3, 75, 102, 92, , 35
2017/4/4, 79, 94, 74, 28, 35
2017/4/5, 73, 99, 130, 27, 41
2017/4/6, 76, 102, 142, 28, 48
2017/4/7, 79, 115, 93, 28, 53
2017/4/8, 97, 128, 120, 28, 52
2017/4/9, 118, 129, 131, 28, 51
2017/4/10, 118, 137, 104, 28, 51
2017/4/11, 137, 134, 100, 29, 53
2017/4/12, 131, 114, 116, , 51
2017/4/13, 96, 105, 104, , 48
2017/4/14, 82, 103, 92, 26, 45
2017/4/15, 80, 105, 126, 29, 43
2017/4/16, 83, 102, 142, 28, 55
2017/4/17, 80, 110, 196, 26, 40
2017/4/18, 88, 107, 151, 27, 45
2017/4/19, 85, 95, 82, 28, 50
2017/4/20, 74, 88, 86, 26, 44
2017/4/21, 68, 79, 228, 27, 51
2017/4/22, 61, 84, 179, 28, 52
2017/4/23, 65, 88, 68, 28, 53
2017/4/24, 67, 92, 75, , 55
2017/4/25, 71, 105, 144, 28, 52
2017/4/26, 82, 103, 69, 27, 53
2017/4/27, 81, 98, 45, 28, 53
2017/4/28, 76, 90, 49, 28, 57
2017/4/29, 69, 92, 72, 27, 54
2017/4/30, 71, 104, 62, 27, 54
2017/5/1, 81, 111, 46, 27, 55
2017/5/2, 90, 110, 48, 27, 45
2017/5/3, 88, 105, 45, 29, 50
2017/5/4, 83, 107, 50, 27, 51
2017/5/5, 85, 101, 51, , 51
2017/5/6, 79, 90, 39, 28, 47
2017/5/7, 69, 84, 44, 28, 51
2017/5/8, 65, 87, 55, 27, 51
2017/5/9, 61, 85, 71, 28, 48
2017/5/10, 54, 77, 62, 28, 47
2017/5/11, 58, 80, 36, 28, 52
2017/5/12, 61, 75, 45, 28, 49
2017/5/13, 57, 74, 48, 27, 47
2017/5/14, 57, 67, 49, 28, 44
2017/5/15, 52, 58, 44, 28, 48
2017/5/16, 45, 64, 46, 27, 52
2017/5/17, 49, 65, 44, 27, 52
2017/5/18, 52, 64, 40, 27, 51
2017/5/19, 50, 64, 37, 27, 55
2017/5/20, 50, 55, 36, 29, 53
2017/5/21, 43, 51, 26, 29, 56
2017/5/22, 40, 50, 27, 27, 68
2017/5/23, 39, 67, 37, 26, 71
2017/5/24, 53, 79, 37, 26, 53
2017/5/25, 61, 71, 37, 27, 46
2017/5/26, 54, 69, 37, 28, 43
2017/5/27, 52, 74, 34, 28, 46
2017/5/28, 57, 49, 33, 28, 56
2017/5/29, 39, 52, 33, 27, 112
2017/5/30, 45, 41, 28, 27, 87
2017/5/31, 33, 49, 39, 28, 55
2017/6/1, 38, 57, 36, 27, 63
2017/6/2, 45, 42, 37, 27, 62
2017/6/3, 34, 35, 42, 28, 55
2017/6/4, 27, 52, 32, 28, 52
2017/6/5, 40, 113, 31, 27, 52
2017/6/6, 231, 90, 33, 27, 55
2017/6/7, 173, 40, 36, 27, 90
2017/6/8, 31, 36, 32, 29, 99
2017/6/9, 28, 40, 50, 28, 85
2017/6/10, 31, 33, 68, 28, 54
2017/6/11, 26, 27, 34, 28, 62
2017/6/12, 21, 26, 42, 27, 53
2017/6/13, 21, 28, 38, 28, 51
2017/6/14, 21, 32, 58, 28, 59
2017/6/15, 25, 28, 68, 28, 49
2017/6/16, 22, 29, 48, 29, 57
2017/6/17, 23, 31, 48, 28, 59
2017/6/18, 24, 32, 31, 28, 61
2017/6/19, 25, 31, 30, 29, 50
2017/6/20, 24, 34, 26, 28, 52
2017/6/21, 26, 39, 27, 28, 61
2017/6/22, 30, 44, 27, 29, 68
2017/6/23, 34, 41, 24, 28, 52
2017/6/24, 32, 40, 24, 28, 56
2017/6/25, 31, 26, 22, 29, 46
2017/6/26, 20, 27, 22, 28, 49
2017/6/27, 21, 32, 24, 28, 68
2017/6/28, 25, 32, 49, 29, 59
2017/6/29, 25, 31, 41, 29, 51
2017/6/30, 24, 34, 35, 28, 52
2017/1/2, 136, 138, 35, 26, 71
2017/1/3, 144, 146, 39, 26, 95
2017/1/4, 163, 146, 49, 26, 101
2017/1/5, 161, 135, 52, 25, 93
2017/1/6, 136, 119, 46, 26, 83
2017/1/7, 105, 107, 46, 24, 57
2017/1/8, 88, 103, 46, 24, 44
2017/1/9, 83, 107, 84, 24, 52
2017/1/10, 87, 116, 83, 25, 54
2017/1/11, 99, 126, 88, 26, 69
2017/1/12, 117, 140, 90, 26, 100
2017/1/13, 149, 154, 74, 25, 86
2017/1/14, 182, 136, 86, 24, 40
2017/1/15, 142, 123, 87, 24, 3
2017/1/16, 110, 124, 90, 24, 55
2017/1/17, 112, 127, 90, 24, 89
2017/1/18, 119, 134, 85, 25, 80
2017/1/19, 135, 138, 89, 27, 94
2017/1/20, 144, 148, 85, 25, 109
2017/1/21, 166, 127, 85, 24, 106
2017/1/22, 125, 120, 85, 25, 111
2017/1/23, 105, 129, 66, 26, 111
2017/1/24, 124, 143, 83, 27, 115
2017/1/25, 156, 150, 85, 25, 120
2017/1/26, 172, 126, 85, 26, 91
2017/1/27, 122, 57, 76, 28, 36
2017/1/28, 49, 85, 76, 26, 37
2017/1/29, 90, 136, 64, 26, 61
2017/1/30, 140, 126, 62, 26, 57
2017/1/31, 116, 125, 85, 26, 54
2017/2/1, 112, 134, 85, 26, 57
2017/2/2, 134, 138, 47, 25, 57
2017/2/3, 143, 128, 96, 27, 51
2017/2/4, 120, 119, 96, 29, 49
2017/2/5, 100, , , , 
2017/2/7, 132, 130, 64, 25, 48
2017/2/8, 126, 126, 28, 26, 46
2017/2/9, 115, 127, 88, 25, 48
2017/2/10, 120, 121, 88, 25, 50
2017/2/11, 136, 116, 74, 26, 50
2017/2/12, 143, 132, 40, 25, 54
2017/2/13, 187, 127, 53, 25, 51
2017/2/14, 174, 131, 54, 26, 56
2017/2/15, 184, 136, 38, 26, 59
2017/2/16, 198, 139, 46, 27, 51
2017/2/17, 208, 146, 42, , 50
2017/2/18, 224, 127, 44, 24, 64
2017/2/19, 173, 116, 44, 24, 57
2017/2/20, 141, 102, 45, 25, 50
2017/2/21, 106, 98, 46, 26, 49
2017/2/22, 98, 124, 39, 24, 54
2017/2/23, 164, 122, 40, 24, 52
2017/2/24, 161, 126, 35, 25, 62
2017/2/25, 172, 131, 40, 24, 64
2017/2/26, 185, 126, 45, 24, 64
2017/2/27, 171, 125, 78, 25, 70
2017/2/28, 169, 130, 46, 24, 67
2017/3/1, 183, 124, 71, 23, 84
2017/3/2, 164, 124, 55, 22, 69
2017/3/3, 140, 128, 26, , 46
2017/3/4, 137, 109, 19, 21, 47
2017/3/5, 94, 121, 33, 20, 47
2017/3/6, 120, 109, 32, 22, 41
2017/3/7, 102, 105, 53, 21, 40
2017/3/8, 90, 104, 47, 21, 38
2017/3/9, 89, 94, 38, , 35
2017/3/10, 78, 90, 21, 22, 30
2017/3/11, 74, 99, 16, 22, 32
2017/3/12, 84, 143, 22, 22, 43
2017/3/13, 179, 146, 25, 22, 46
2017/3/14, 184, 132, 64, 20, 48
2017/3/15, 148, 118, 34, 21, 41
2017/3/16, 118, 92, 21, 21, 35
2017/3/17, 76, 101, 30, 22, 35
2017/3/18, 87, 112, 30, 22, 36
2017/3/19, 99, , , 26, 
2017/3/21, 140, 108, 38, 28, 103
2017/3/22, 124, 116, 36, 27, 68
2017/3/23, 149, 126, 40, 27, 35
2017/3/24, 168, 121, 58, 28, 35
2017/3/25, 122, 119, 61, 27, 34
2017/3/26, 99, 122, 45, 27, 34
2017/3/27, 105, 121, 45, 28, 35
2017/3/28, 103, 115, 42, 28, 34
2017/3/29, 93, 113, 52, 28, 32
2017/3/30, 91, 114, 74, 28, 32
2017/3/31, 93, 111, 75, 29, 35
2016/10/1, 45, 30, 34, 19, 
2016/10/2, 28, 26, 33, 21, 
2016/10/3, 24, 23, 28, 20, 
2016/10/4, 22, 26, 27, 20, 
2016/10/5, 25, 32, 20, 19, 
2016/10/6, 30, 35, 26, 19, 
2016/10/7, 33, 33, 20, 20, 
2016/10/8, 32, 33, 30, 19, 
2016/10/9, 30, 34, 32, 18, 
2016/10/10, 31, 37, 22, 14, 
2016/10/11, 35, 75, 16, 17, 
2016/10/12, 73, 85, 20, 21, 
2016/10/13, 84, 96, 27, , 
2016/10/14, 94, 94, 26, , 
2016/10/15, 92, 87, 22, , 
2016/10/16, 85, 88, 22, 19, 
2016/10/17, 87, 95, 26, 19, 54
2016/10/18, 93, 102, 26, 19, 53
2016/10/19, 103, 99, 24, 18, 52
2016/10/20, 99, 96, 23, 19, 52
2016/10/21, 94, 100, 22, 19, 53
2016/10/22, 98, 102, 22, 18, 56
2016/10/23, 100, 108, 17, 18, 
2016/10/24, 117, 108, 17, 20, 
2016/10/25, 118, 92, 19, 20, 
2016/10/26, 90, 101, 19, 19, 
2016/10/27, 106, 113, 47, 19, 44
2016/10/28, 129, 127, 47, , 43
2016/10/29, 168, 122, 45, 21, 41
2016/10/30, 153, 120, 45, 21, 43
2016/10/31, 148, 116, 38, 40, 70
2016/11/1, 137, 101, 35, 41, 83
2016/11/2, 100, 107, 40, 43, 95
2016/11/3, 116, 112, 34, 42, 98
2016/11/4, 126, 103, 48, 40, 94
2016/11/5, 106, 96, 39, 39, 91
2016/11/6, 94, 100, 29, 39, 84
2016/11/7, 99, 118, 31, 38, 87
2016/11/8, 142, 125, 48, 38, 95
2016/11/9, 162, 115, 44, 40, 101
2016/11/10, 136, 125, 44, 42, 102
2016/11/11, 162, 135, 44, 41, 108
2016/11/12, 192, 144, 38, 39, 111
2016/11/13, 216, 153, 29, 40, 111
2016/11/14, 239, 146, 36, 40, 95
2016/11/15, 221, 140, 36, 39, 64
2016/11/16, 203, 138, 47, 40, 54
2016/11/17, 200, 131, 43, 39, 65
2016/11/18, 180, 143, 44, 41, 89
2016/11/19, 214, 150, 47, 40, 99
2016/11/20, 231, 143, 47, 41, 99
2016/11/21, 212, 147, 47, 38, 68
2016/11/22, 192, 147, 32, 33, 42
2016/11/23, 166, 145, 46, 33, 40
2016/11/24, 160, 145, 46, 32, 39
2016/11/25, 161, 150, 44, 32, 39
2016/11/26, 171, 136, 36, 33, 39
2016/11/27, 140, 129, 34, 33, 42
2016/11/28, 123, 136, 33, 32, 39
2016/11/29, 141, 135, 40, 33, 30
2016/11/30, 139, 142, 38, 33, 18
2016/12/1, 153, 156, 41, 32, 20
2016/12/2, 186, 148, 38, 31, 17
2016/12/3, 168, 116, 54, 32, 8
2016/12/4, 103, 107, 43, 33, 7
2016/12/5, 88, 115, 53, 34, 20
2016/12/6, 97, 116, 57, 34, 30
2016/12/7, 98, 131, 50, 44, 41
2016/12/8, 131, 135, 51, 63, 47
2016/12/9, 138, 135, 42, 35, 50
2016/12/10, 137, 139, 35, 40, 52
2016/12/11, 145, , , , 
2016/12/13, 175, 136, 50, 31, 
2016/12/14, 138, 103, 46, 27, 52
2016/12/15, 92, 105, 50, 24, 62
2016/12/16, 91, 134, 58, 23, 71
2016/12/17, 135, 140, 51, 25, 77
2016/12/18, 149, 118, 47, 25, 96
2016/12/19, 109, 131, 55, 24, 107
2016/12/20, 138, 101, 68, 25, 118
2016/12/21, 107, 103, 68, 25, 107
2016/12/22, 104, 139, 49, 25, 53
2016/12/23, 145, 135, 65, 24, 59
2016/12/24, 137, 136, 66, 25, 87
2016/12/25, 139, 136, 64, 27, 75
2016/12/26, 139, 152, 67, 25, 72
2016/12/27, 175, 150, 55, 25, 92
2016/12/28, 173, 153, 51, 25, 94
2016/12/29, 176, 172, 52, 27, 100
2016/12/30, 220, 161, 66, 25, 105
2016/12/31, 196, 145, 63, 25, 94
2017/1/1, 159, 135, 29, 26, 76
2016/7/1, 15, 33, 26, 248, 
