year,state,so2,no2,pm2_5,AQI
2000.0,Delhi,15.206666666666669,39.579047619047635,,256.38214285714287
2000.0,Gujarat,10.755102040816324,26.369387755102053,,200.2219387755102
2000.0,Haryana,25.412499999999994,10.0375,,191.875
2000.0,Kerala,14.067283950617288,23.457407407407402,,82.42746913580247
2000.0,Maharashtra,20.224782608695655,33.81608695652174,,160.22065217391304
2000.0,Tamil Nadu,9.946956521739134,22.315652173913048,,84.5304347826087
2000.0,West Bengal,19.81234567901234,48.89135802469135,,186.12037037037038
2001.0,Delhi,13.042268041237108,39.21958762886598,,247.26546391752578
2001.0,Gujarat,10.294444444444446,39.37222222222221,,241.34722222222223
2001.0,Haryana,22.849999999999998,14.111111111111109,,202.78472222222223
2001.0,Kerala,11.428712871287127,13.896039603960391,,113.23019801980197
2001.0,Maharashtra,20.114220183486236,34.63394495412846,,180.14449541284404
2001.0,Tamil Nadu,11.464655172413792,21.502586206896556,,92.38254310344827
2001.0,West Bengal,14.482608695652177,62.175,,193.85597826086956
2002.0,Delhi,10.95,36.976086956521755,,227.68478260869566
2002.0,Gujarat,15.68623853211009,31.243119266055047,,180.66628440366972
2002.0,Haryana,18.28055555555556,23.369444444444447,,267.6458333333333
2002.0,Kerala,9.570476190476194,9.48190476190476,,86.60595238095237
2002.0,Maharashtra,18.740566037735853,30.374999999999993,,170.8490566037736
2002.0,Tamil Nadu,13.653038674033146,24.924861878453047,,79.22915745856353
2002.0,West Bengal,10.211578947368416,63.632631578947375,,173.17631578947368
2003.0,Delhi,9.958146487294469,42.408071748878925,,249.6618086696562
2003.0,Gujarat,0.0,0.0,,4.0
2003.0,Maharashtra,5.913223140495868,18.677685950413224,,122.73243801652893
2004.0,Gujarat,18.621075120606463,27.995789110957894,,155.7573656099243
2004.0,Haryana,12.952264808362363,22.3247386759582,,166.78440766550523
2004.0,Maharashtra,19.859453398738605,28.869180098107915,,143.72581990189218
2004.0,Tamil Nadu,6.239417122040072,22.38318761384335,,103.36613843351549
2004.0,West Bengal,9.260416666666666,59.60138888888889,,153.20442708333334
2005.0,Delhi,9.25963581183611,50.20758725341429,,251.8886570561457
2005.0,Gujarat,17.212430769230746,27.723507692307713,,175.1776153846154
2005.0,Haryana,10.605199999999995,22.778800000000007,,207.454
2005.0,Kerala,10.315012106537514,20.419128329297823,,80.22639225181598
2005.0,Maharashtra,24.07263820853744,33.59503149055285,,169.6000699790063
2005.0,Tamil Nadu,12.185318107667207,26.407504078303443,,106.8334013050571
2005.0,West Bengal,10.432572115384621,55.43725961538466,,203.73392427884616
2006.0,Delhi,9.54844036697248,46.46422018348624,,276.0405963302752
2006.0,Gujarat,16.393689632968442,25.700837089504173,,152.6310367031552
2006.0,Haryana,10.769148936170215,19.50744680851064,,180.9627659574468
2006.0,Kerala,10.181496062992135,19.477296587926503,,77.68963254593176
2006.0,Maharashtra,20.2891384051329,30.072731439046844,,148.41664757103575
2006.0,Tamil Nadu,12.634979079497898,26.017656903765726,,107.1571129707113
2006.0,West Bengal,7.540011820330986,59.35360520094556,,199.84574468085106
2007.0,Delhi,6.3329289428076265,48.91317157712301,,265.0810225303293
2007.0,Gujarat,16.430328295987486,25.444398124022904,,152.5411672746222
2007.0,Haryana,8.312903225806446,12.249032258064505,,117.93467741935484
2007.0,Kerala,8.147013274336285,19.604756637168133,,72.56305309734513
2007.0,Maharashtra,19.303091321611014,30.420589903573607,,154.55232558139534
2007.0,Tamil Nadu,13.571338083927165,21.721773555027717,,110.32135787806808
2007.0,West Bengal,7.726869806094186,61.004875346260356,,192.39120498614957
2008.0,Delhi,7.097822706065317,58.697978227060695,,306.49125194401245
2008.0,Gujarat,14.225190452006101,22.66922295581512,,140.969718131031
2008.0,Haryana,9.745833333333335,14.194166666666666,,151.12916666666666
2008.0,Kerala,7.020177165354335,19.888287401574825,,69.78715551181102
2008.0,Maharashtra,18.210846484935534,32.69956958393122,,168.3974175035868
2008.0,Tamil Nadu,13.618332022029907,22.46530291109362,,113.30399291896144
2008.0,West Bengal,8.82286387743074,68.71437831467291,,212.56062168532705
