year,state,so2,no2,pm2_5,AQI
2000.0,Delhi,15.089814814814817,39.93796296296299,95.11320755000015,195.60233232222234
2000.0,Gujarat,11.83699615433333,25.09833333333334,30.729695960000022,87.1420898041667
2000.0,Haryana,25.412499999999994,10.0375,48.47714050000001,108.94868730750001
2000.0,Kerala,14.067283950617288,23.457407407407402,48.47714050000009,111.54205150864188
2000.0,Maharashtra,20.15161290322581,33.33369175627239,48.47714049999974,131.4928181314692
2000.0,Tamil Nadu,9.933867801176472,22.126900856974792,29.55044052999994,79.4765481963025
2000.0,West Bengal,19.81234567901234,48.89135802469135,64.890625,172.4004629296293
2001.0,Delhi,12.912121212121207,39.01414141414142,95.11320755000008,191.7254383828285
2001.0,Gujarat,12.507237401034477,31.22068965517241,30.729695960000022,95.63283675206895
2001.0,Haryana,22.849999999999998,14.111111111111109,48.47714049999997,110.83757619055561
2001.0,Kerala,9.977639751552795,14.64347826086957,48.47714050000009,95.41258483621098
2001.0,Maharashtra,20.12834645669291,32.50866141732285,48.4771404999998,130.43244714960596
2001.0,Tamil Nadu,11.232660107571423,24.05142857142858,29.550440529999925,83.50569822471438
2001.0,West Bengal,14.482795698924733,62.31935483870968,64.890625,182.5235214720427
2002.0,Delhi,10.90292069631915,37.32742865957448,95.11320755000004,187.10554679361732
2002.0,Gujarat,13.935338345864661,28.230075187969923,30.729695959999937,93.67969484774456
2002.0,Haryana,18.28055555555556,23.369444444444447,48.47714049999997,116.69868730000005
2002.0,Kerala,9.098170731707325,10.251219512195124,48.47714050000009,88.82292512975593
2002.0,Maharashtra,18.37528089887642,29.810861423220974,48.47714049999977,124.86886521217173
2002.0,Tamil Nadu,13.510960301489357,25.881921287127675,29.5504405299999,88.64168936670225
2002.0,West Bengal,10.247916666666663,63.79375000000001,64.890625,179.07291663333297
2003.0,Delhi,9.889588775366995,42.79757626742533,95.11320754999954,192.6765664011372
2003.0,Gujarat,0.0,0.0,30.72969595999994,40.97292795000002
2003.0,Maharashtra,6.077823011406844,18.875840727566544,48.47714049999978,95.82826699505702
2004.0,Delhi,8.737272726999919,53.489147000000166,95.11320754999959,204.60063469999807
2004.0,Gujarat,18.606937370956626,27.985953200275226,30.729695959999447,99.214041140641
2004.0,Haryana,12.952264808362363,22.3247386759582,48.47714049999973,108.73244166313552
2004.0,Maharashtra,19.40695840540527,29.45340394999995,48.47714050000093,125.7116402680347
2004.0,Tamil Nadu,6.243097826086956,22.43653985507246,29.550440529999854,75.25013447905802
2004.0,West Bengal,11.750825659786459,59.74377224199287,64.890625,175.88908067727482
2005.0,Delhi,9.212413493714878,49.03409160572985,95.11320754999983,199.6257414735327
2005.0,Gujarat,17.209862618341496,27.729729729729748,30.72969595999939,97.14741836462083
2005.0,Haryana,11.935503317612335,23.044439107446735,48.477140499999564,108.36111535737534
2005.0,Kerala,8.253715617887627,17.65598155900121,48.47714049999941,97.02330879190941
2005.0,Maharashtra,19.96402376955106,29.59007850083303,48.477140500002015,126.57881515148509
2005.0,Tamil Nadu,11.84324548952856,25.328356115971438,29.550440530000227,85.8650893829146
2005.0,West Bengal,10.090495671375466,52.810758114721246,64.890625,165.1474005326474
2006.0,Delhi,9.533824733819824,46.51806131351352,95.11320754999949,196.88246765837758
2006.0,Gujarat,16.40791163789137,25.744171344504778,30.729695959999408,93.66303165920287
2006.0,Haryana,10.33729602479798,20.614139150126217,48.47714049999959,103.32548130058035
2006.0,Kerala,8.358956285002344,16.910679530683048,48.47714049999934,96.22323209047649
2006.0,Maharashtra,18.251433860194265,28.94354932608438,48.477140500003365,123.6299162948925
2006.0,Tamil Nadu,12.50465641645332,25.752542866506065,29.550440530000902,87.2220864790338
2006.0,West Bengal,7.381219235117792,57.06304910676653,64.890625,167.07616872735485
2007.0,Delhi,6.401518698683945,48.83207072575247,95.11320754999946,195.8595968800995
2007.0,Gujarat,16.431266601598335,25.43189383280226,30.72969595999932,93.30187847703345
2007.0,Haryana,9.145524641712955,15.250788557175925,48.4771404999999,95.13157883157385
2007.0,Kerala,6.973731774050312,16.539352466069168,48.4771405000004,94.02754262320788
2007.0,Maharashtra,18.376447976168542,29.79006373854007,48.47714050000423,124.8443269582978
2007.0,Tamil Nadu,13.477637331535163,21.826159332066002,29.550440530000937,83.53033320309704
2007.0,West Bengal,7.778320445610501,59.275238417557944,64.890625,170.3377818789615
2008.0,Delhi,7.2528798473986,58.272949525874175,95.11320754999966,208.7248968148242
2008.0,Gujarat,14.231348385663635,22.672759956509612,30.72969595999931,87.10306337041723
2008.0,Haryana,10.871952509166665,16.8324935190476,48.47714050000009,99.26674486505961
2008.0,Kerala,6.445425829364164,17.159658045517027,48.477140500000274,94.1425421657611
2008.0,Maharashtra,17.826896642079372,32.13748432591603,48.4771405000041,127.09166352154554
2008.0,Tamil Nadu,13.156896434776424,21.8314265164096,29.550440530001005,83.13599106284929
2008.0,West Bengal,8.969136289247889,67.2621472917214,64.890625,181.8099377762288
2009.0,Delhi,6.694634555759946,50.10317454829544,95.11320754999956,197.81487147883456
2009.0,Gujarat,16.12275362774791,23.945440084465698,30.72969595999934,91.05817008001279
2009.0,Haryana,12.928163388536587,26.631662793902436,48.47714049999996,114.08597003658535
2009.0,Kerala,6.208358772114802,16.40308987487611,48.477140500000644,92.90049813102709
2009.0,Maharashtra,15.595862084440968,30.708125079880165,48.477140500003976,122.51617126550933
2009.0,Tamil Nadu,11.180031588353154,21.030184218188452,29.55044053000074,79.66335713009971
2009.0,West Bengal,12.53223903503504,65.0286801430232,64.890625,183.47198227257132
2010.0,Gujarat,15.479081632653061,23.016326530612243,30.729695959999315,89.09218814676207
2010.0,Haryana,14.634408602150538,23.672043010752688,48.477140499999614,112.51925182249941
2010.0,Kerala,4.336634891816161,13.54105480622471,48.4771405000021,86.98329944732203
2010.0,Maharashtra,17.096699410314496,30.54986396757162,48.477140500004545,124.19439153206815
2010.0,Tamil Nadu,9.186380999546893,19.64237675617041,29.55044053000097,75.4365345662616
2010.0,West Bengal,9.69166666666664,64.59279661016967,64.890625,179.37641239604412
2011.0,Delhi,5.343680830038043,58.464614929347825,95.11320754999986,206.5779797989122
2011.0,Gujarat,14.949842635746656,25.140813293414013,30.72969595999932,91.08624785155695
2011.0,Haryana,13.702272727272728,27.795454545454547,48.47714049999956,116.50834640413503
2011.0,Kerala,4.227283558379667,14.046513855643346,48.47714050000265,87.47843409156253
2011.0,Maharashtra,17.42417265308372,33.62863066141438,48.47714050000063,128.45219145037498
2011.0,Tamil Nadu,10.294149823683876,22.23984041799872,29.550440530001016,80.06807517522341
2011.0,West Bengal,17.134927412467977,56.92997438087105,64.890625,179.101960541689
2012.0,Delhi,7.444444444444445,81.68402777777777,95.11320754999988,238.22820037777717
2012.0,Gujarat,15.258530183727034,26.37270341207349,30.72969595999991,93.01196993156265
2012.0,Haryana,9.711340206185566,27.859106529209622,48.47714049999972,111.59924573027503
2012.0,Kerala,3.951666094125734,12.104190999656463,48.477140500003166,84.70600869326235
2012.0,Maharashtra,16.8026198522435,33.09291665345813,48.4771404999985,127.00560793873771
2012.0,Tamil Nadu,10.44929890048443,20.674957358362168,29.550440530001076,78.30590769473217
2012.0,West Bengal,41.41406727828746,54.67385321100918,64.890625,206.63073391171392
2013.0,Delhi,4.487084870848708,89.73431734317343,95.11320754999993,244.59436286752705
2013.0,Gujarat,12.752285262173913,18.747846680935428,30.729695959999425,80.34809287799246
2013.0,Haryana,12.168141592920353,25.920353982300885,48.47714050000007,112.24680677274335
2013.0,Kerala,3.8589925373134344,11.36108208955222,48.47714050000288,83.66128060842345
2013.0,Maharashtra,16.615782944102182,31.837889362058604,48.477140499999585,125.20327768942252
2013.0,Tamil Nadu,11.801427944779709,21.69386569714045,29.550440530001236,81.26970442357512
2013.0,West Bengal,10.454104134762634,63.81120980091884,64.890625,179.3524757198788
2014.0,Delhi,5.137174211248285,63.49245541838135,95.11320754999979,212.60464713703624
2014.0,Gujarat,14.255570275079489,20.130897047676,30.466313398940198,83.60483535207432
2014.0,Haryana,13.110619469026549,24.349557522123895,48.47714049999987,111.46140854477862
2014.0,Kerala,4.168224299065421,12.575682961894323,48.47714050000302,85.56607140150794
2014.0,Maharashtra,18.144864931029115,35.74567359205979,48.47714050000039,131.99936045919458
2014.0,Tamil Nadu,11.502419755425493,22.13435763311566,29.550440530001303,81.44655910770598
2014.0,West Bengal,8.079358685074627,57.616962519552246,64.890625,168.64123480578053
2015.0,Delhi,5.692989980444892,67.13288946774193,95.11320754858836,217.84995939176014
2015.0,Gujarat,14.371559983959298,20.89460280372803,31.051553835300645,85.48477526531913
2015.0,Haryana,15.294871794871796,72.85897435897436,48.47714050000004,174.82849499230778
2015.0,Kerala,3.9335523913837167,14.27747353048558,48.47714050000296,87.39996972603019
2015.0,Maharashtra,16.11871456691459,34.21482686291818,48.47714049999851,127.55311409687573
2015.0,Tamil Nadu,10.662301397728061,21.329291941572528,29.550440529731613,79.39007904528678
2015.0,West Bengal,7.430621289227072,45.984994040881055,64.890625,153.29035247148968
2016.0,maharashtra,70.95348837209302,23.395744680851063,83.13636363636364,304.19004065040644
2017.0,maharashtra,50.63428571428572,27.337209302325583,78.59770114942529,201.47433943089433
